Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.7679439351800,1765.7358949583300,1667.6050570340800,1590.0881171141100,1460.0655003551200,1370.6992828229200,1452.5071047646000,1396.4420190088100,1511.3253156731400,1210.6117195862000,1276.2880341000000,1244.3731852343100,1479.3145827167600,1819.7660592617700,2378.623286007410,3125.8105350285300,3847.4341238215300,4735.657607939990,6377.369732012320,5352.583911600700,6033.6862392722,6527.173868716420,6953.132514936840,7998.125238780980,8341.399678610940,5967.052203849140,5039.681886284990,5785.67067254068,6360.06247301284,6837.717826063520,6555.426818263150,7303.696265898830
Belgium,1273.6916591028800,1350.1976733312300,1438.5232330683900,1535.0237290104300,1701.846275543190,1835.5947655319400,1957.6260804276200,2086.6360054465500,2222.3615105191400,2458.0818200377300,2765.890996647950,3082.9279887912600,3831.631899994330,4900.962200758670,5733.798139338780,6701.3773605243300,7243.047341195830,8426.946959473720,10289.76841732960,11810.61587547250,12864.002566139600,10622.802483078900,9343.861099596180,8846.23429846973,8457.268803163740,8750.81851250535,12170.04069627020,15135.852311696900,16391.093827791100,16525.06174328490,20600.375278982700,21041.66065196480,23372.61917101500,22283.9360213551,24208.55479314460,28413.8264387368,27489.555177048900,24820.938050389600,25338.44329349040,25252.801906656500,23098.88650774010,23015.071263246200,25006.191397109000,30655.209267902400,35429.40779333450,36809.7013403619,38705.10679591470,44319.165448813100,48303.397956286000,44760.29124437090,44184.94635396400,47410.56692774630,44670.560684510100,46757.95185595970,47764.07151208330,41008.29671947200,42012.62271910150,44198.48239086910,47549.20804945470,46599.1113350938,45189.366900312600,51767.78857236470
Belize,304.9038597800410,316.41362948876100,327.0999965247950,336.938102250285,351.16112626956200,377.5907469838870,406.0942532610970,420.3759335695880,386.9399012684150,396.62770058906300,435.68333770486900,474.4366126300790,519.5553353466720,605.9334407026510,786.0810652222380,885.9579356956190,717.0614060396220,858.8218118110810,980.7519338010430,1074.2947728977700,1373.2168447086900,1328.7741214796800,1202.7931755079700,1232.853202124250,1337.037619947490,1289.390743672610,1366.0416735075400,1612.3313347731100,1788.001319774550,2011.946796523700,2197.1615934077700,2326.7241649924700,2668.5314217492400,2834.688425047440,2882.1520832610200,2997.7604584416500,3003.1826266030100,2954.2272368272600,2993.033598554600,3066.0951380665200,3364.491731025840,3417.0902242871700,3553.1213775366500,3677.152001831160,3824.9273822659400,3916.355378192340,4157.193035284380,4290.901444995470,4408.382931236260,4196.995031483660,4304.111108151400,4441.738754739640,4530.604800529940,4575.680956484860,4744.10894523228,4805.1968523727900,4877.670505932560,4909.604663799160,4927.194223739310,4983.336114358690,3987.796596120680,4420.491372337400
Benin,93.02270026776830,95.57223223087400,94.46449724230360,99.85891753389450,104.33992943407200,110.13258464497200,112.94083638351200,111.95156099690300,116.89514976993900,116.02525714589200,114.55667513683700,112.56997563164600,134.8195851212970,161.987061525057,174.01409449139700,207.30031276854400,208.6564031829120,218.45398401670600,263.58143153799000,327.8223121625640,378.04430511318200,337.97837168528500,322.7774529149610,271.12984423497600,252.86978504478800,244.4109417331020,303.3490356031580,344.5031467527960,346.73663130027700,311.6780452077000,393.68676796568000,385.7538407454750,317.96273601586700,411.9261797232460,279.66674903802500,367.38771429559700,387.43209818347300,361.0999823694690,379.44176751517800,551.8214294311760,512.6739019626200,518.0674741346960,574.9297981557890,711.2849547718470,798.7443045038090,822.7851431247050,856.0549165598730,966.2036183101580,1125.4261339807200,1088.75790573459,1036.534515024040,1130.2732512801500,1145.1401047947700,1251.2097674537800,1291.4101848057900,1076.7966978558500,1087.2873314854700,1136.5938717844800,1241.8252980053100,1219.5155059690400,1291.0409721544100,1428.4471767132500
Bermuda,1902.402118849370,1961.5381691712000,2020.3859649558900,2020.2652474469000,2199.7270068273400,2282.2165462109000,2630.850466385350,2982.7497043718100,2830.188679245280,3053.703703703700,3387.2727272727300,3866.3003663003700,4343.173431734320,5009.293680297400,5853.932584269660,6509.433962264150,7261.278195488720,8370.786516853930,8876.865671641790,9613.382899628250,11218.21781598680,13425.976966394200,14166.17129253910,15902.020382621100,17469.825567587700,18269.535519701900,20450.66452894640,22411.795674946800,24253.175518878400,25517.92172124880,26841.519738394600,27700.310059131500,28669.68171345680,30900.69427940930,31476.06372218480,33989.72316138320,44826.78907016580,48478.88325040910,51371.74080698360,54245.45973729300,56284.16864780940,58883.959426596700,62583.1002034588,66111.72522700360,70359.31910887980,75882.03385603390,95221.85887203010,104287.38749845900,106935.48634197900,101407.7640319340,101875.28407346000,97774.16207174280,98431.8651810241,99471.63889786310,98467.683993982,102005.62564189000,106885.87848932700,111820.58146634700,113050.7368816300,116153.1661216380,107706.039785266,110869.46310301100
Bhutan,,,,,,,,,,,,,,,,,,,,,316.3499357703100,332.81059945145600,329.5733520263050,356.2505645891800,355.41589722700200,351.6798951335360,399.4935000939490,491.1278108845810,534.296187933015,506.96839352109700,541.9322571046910,449.5012421558240,449.40042820988500,424.33784182473400,486.90198006187900,543.3016187114480,560.391078973138,638.4858665747160,643.9882263360760,690.912743468582,718.1963369694140,764.4328082461820,845.500672103577,962.0953713077460,1068.431811412750,1228.4323557233800,1330.9774440087400,1757.1904959789500,1828.1546768491000,1819.1973095996500,2258.1864353595300,2563.2612238010000,2538.949519199640,2472.7247532059500,2652.2256543802200,2752.63017233677,2930.574922700600,3286.596743766820,3243.4774374871800,3322.863328836780,3000.777985956520,
Bolivia,102.23772241360700,109.06130397942500,116.92496820851300,123.42934134547800,136.3123619503250,149.64033320675600,162.32605449338800,179.58303840134300,199.6295674373410,211.79701616988400,226.8069714039890,239.12749874347200,268.58401538771600,263.8927460787300,429.2975596034230,480.80365512194500,534.2732859047630,617.3068292332200,703.1354272906070,809.4121784971860,813.1797667969020,1034.1417130069200,962.1237420816040,914.011141063949,1019.0540384132100,870.1855270370710,627.5635511064240,674.8525705239460,698.6920119183800,701.6659126096110,709.0599790502400,762.0777190005510,788.1523200180630,784.1909983010800,801.0461340391320,880.9926836346470,950.8563810963410,998.5159556151970,1049.499366924390,1003.3922264717100,997.5817507954560,948.8702042818260,904.2257919060360,907.5374099374110,967.4064599876350,1034.311805767250,1218.8740742626500,1372.628373763840,1715.2083953946500,1754.2094666383600,1955.4601809750000,2346.337843923510,2609.8805620863200,2908.200370948000,3081.8788236516200,3035.9716549510700,3076.6564393372100,3351.1243443264200,3548.5907802190000,3552.068143836540,3137.989617440180,3414.8928485608600
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.0127920209360,487.4769045098800,740.0996864688630,982.8018490655980,1102.3906880962800,1251.7475951288600,1484.176057128630,1544.6020723592600,1789.8576919216300,2258.946444890510,2698.467180026850,2980.6012666799100,3416.5123763665300,4193.368005234170,5090.9458252607400,4714.693737212190,4635.51020027381,5092.554725212630,4777.06691952936,5129.663534030700,5330.3550775185200,4729.690054162090,4994.9716230812300,5394.269139703400,6070.35298018619,6119.76235142981,6082.36673041924,6916.438315076610
Botswana,60.49395799838320,64.17613957172000,68.05034895866870,71.10643908476510,75.9559184671663,81.76999433444630,89.97955291471820,100.40514351126800,110.97864233084000,126.54554836490100,153.32637867117000,197.1942215838460,246.5415378086570,353.85847931118400,428.19843321606400,479.0912931250770,483.14131966100000,564.1290109772960,709.1893379544040,947.755045659149,1181.6138697906200,1154.1785780272400,1054.0559464471500,1176.8195346660600,1202.9760022227400,1042.2397538747400,1253.55531668926,1701.678132869440,2203.6466149246300,2477.975357575920,2945.8320395380200,2972.7289527622300,3040.989396233920,2973.3804012170600,2970.1184252493500,3219.914242245520,3221.6890557931200,3258.982427859220,3039.964943595190,3405.8210582008100,3522.3108214570900,3278.016079347060,3190.624811461540,4330.9723685528300,5073.520408021490,5513.331062593220,5521.990608104420,5832.737051684760,5713.543931064310,5255.776532693150,6434.812485268220,7617.310041325520,7050.573471866800,7224.912737285620,7495.220866088070,6402.910183383910,6982.917492413020,7296.092141570090,7503.878588364590,7247.429476453520,6348.832317656260,7347.552382319500
Brazil,235.9468833299580,232.48054623082800,251.34831740513900,295.6319708058080,258.6053707281020,269.4562899727280,330.0405859402690,353.1107106234090,375.3905735272330,400.78706942439700,445.02378079118000,501.3168141788660,585.1714049646450,817.452445155272,1048.596234680580,1205.0748337765500,1395.0963988733300,1568.5433536397300,1739.7205657328500,1877.6822721383600,1966.9036264420200,2088.0026865078100,2144.804053356670,1465.10809173055,1422.6839139423700,1301.9768119706500,1563.1042485764200,1685.8206898983500,1801.9955550122900,2371.5721957568400,2622.262880570980,2259.239893668010,2127.5071898116900,2348.0900473342800,3295.2449236234400,4748.3882078760500,5166.16393308148,5282.049469949870,5087.079072323750,3479.8438328539500,3749.910847528880,3160.249344914410,2839.4915010896600,3070.436419419420,3637.3138901512000,4790.456565861310,5886.391521948180,7348.187962907100,8831.18364277676,8597.794335262630,11286.071540212000,13245.387369563900,12370.223254847600,12300.386712100400,12112.834955487600,8813.989806478260,8710.063289953510,9928.67589653407,9151.38173161535,8876.059835877810,6814.8756319677200,7518.834284328370
