year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
2003,4029.920367994698,15625.452379546397,3779.370270495761,3442.6836661044085,38395.221576375916,538.7111359903289,761.9683215601342
2004,4490.108938292893,18155.860176537266,4298.75075531599,3988.368112044299,40788.093535368265,613.94779740106,922.6852196409332
2005,4753.19768237205,19256.683086519453,5132.623921233593,4704.369989569575,43368.25242643294,691.6926171649666,1067.0874436703448
2006,5005.225821320473,20791.518514123152,5942.770170765581,5399.7771495243705,45741.0325855388,774.8637986193046,1224.6399559490237
2007,5564.95097582757,24212.591516024364,6918.988383652058,6243.04902102041,47727.48203984444,959.3051263990956,1381.282020086411
2008,6395.469322845399,26521.319004960886,7950.106728858281,7617.93015762614,48398.102948966225,959.4612493630526,1545.0291930045048
2009,6553.351688224847,23235.032267626586,7385.181416357249,6734.137429670292,46581.28353868015,1041.9802107285102,1446.1171318366
2010,7602.683990594643,23667.59958217832,9055.229958089081,7703.878573427618,48552.94240551678,1257.4995082144856,1666.3196345592762
2011,8768.466638545755,26177.600182487386,10200.16488454926,8518.297705535058,50289.0244037158,1368.9163043781064,1826.2418591577944
2012,9316.379124392459,25119.128577012165,10195.041742050546,8992.171694402834,51881.17088638388,1366.0594252823532,1851.7793094955107
2013,9342.287573216534,26133.757349368407,10335.058723788672,8666.910240221529,53234.15009846498,1383.3169085385696,1917.3024429307477
2014,9561.000936760487,26374.15183111285,10429.571110188414,8540.737206499274,54714.47092861912,1496.014995704789,1932.513462655094
2015,9455.889610267226,22612.850281821127,8216.115479053096,7375.464755602299,55452.42138395759,1543.048130721675,1694.9674499755636
2016,9724.31539939265,22443.172776915053,7950.475992988533,7307.448456531413,56312.43488485368,1696.7396285635543,1537.1009758970197
2017,10309.001203726286,23691.68767347175,8748.91038760758,7469.5498337537065,58430.19859588209,1911.329753605181,1622.287452630786
2018,11167.726506615205,25284.189452543716,8476.423463114907,7704.420769264742,61158.56355909119,1944.0066346858669,1606.4758621104806
2019,11339.349614964613,24901.31724415134,8281.386826469763,7536.948963148854,63175.74013022784,1987.5683404337967,1617.4624641145208
2020,11304.120537958033,23906.587589748277,6921.292116642356,6643.6549400418735,61000.85525894605,1875.4413914902173,1499.8818930392342
2021,12816.562386656118,27012.136009271857,7543.409792909546,5807.2156139756935,67514.02311588125,2162.893660647056,1643.875723186153
